epoch,lr,loss,iou,val_loss,val_iou
0,0.001,2.035070329,0.310691724,1.786183478,0.390232888
1,0.001,1.767029256,0.384925718,1.738092963,0.386712631
2,0.001,1.676377652,0.39603464,1.592632966,0.471104961
3,0.001,1.63213426,0.397907603,1.538172087,0.464491139
4,0.001,1.584864435,0.430656891,1.506517131,0.494024771
5,0.001,1.558511583,0.43763517,1.517599319,0.452777599
6,0.001,1.542238654,0.435750827,1.466407458,0.464994044
7,0.001,1.521243737,0.448010362,1.574557659,0.428739737
8,0.001,1.49558076,0.459758768,1.473896948,0.443651726
9,0.001,1.495135852,0.447555186,1.437749629,0.4890535
10,0.001,1.483353638,0.466710164,1.441811976,0.520248825
11,0.001,1.46355369,0.474811927,1.449559472,0.525288929
12,0.001,1.45331919,0.478127413,1.463461142,0.503678391
13,0.001,1.443336325,0.48189899,1.412649335,0.506878284
14,0.001,1.43415428,0.488812583,1.400350972,0.528818528
15,0.001,1.415733717,0.498271945,1.3240978,0.561377068
16,0.001,1.41922063,0.497866283,1.370570827,0.547151816
17,0.001,1.390743435,0.519388574,1.474674598,0.447241849
18,0.001,1.388592483,0.513466642,1.33052476,0.55269244
19,0.001,1.383375843,0.517764934,1.357648917,0.529747206
20,0.001,1.369922418,0.53518608,1.484272509,0.480908142
21,0.001,1.382863348,0.519592939,1.286466911,0.593760202
22,0.001,1.337768069,0.550501553,1.368876647,0.448828825
23,0.001,1.346380969,0.545961046,1.280932895,0.595497626
24,0.001,1.33686965,0.544612866,1.302957609,0.59020053
25,0.001,1.319402008,0.561176927,1.253076167,0.599711128
26,0.001,1.33260822,0.55358472,1.247857256,0.616877555
27,0.001,1.312156948,0.560782113,1.242398499,0.611544803
28,0.001,1.311969476,0.554782873,1.274064336,0.561898311
29,0.001,1.304420225,0.568581393,1.171349881,0.636730888
30,0.001,1.284110899,0.576244395,1.230213967,0.624395096
31,0.001,1.296185598,0.567845969,1.235303869,0.637993924
32,0.001,1.287398428,0.574440857,1.218161249,0.640804371
33,0.001,1.276163015,0.581093398,1.226115648,0.614503643
34,0.001,1.272055084,0.586784084,1.209665258,0.635722141
35,0.001,1.277044661,0.579524294,1.254909171,0.618747978
36,0.001,1.26230183,0.590468265,1.209901982,0.633358371
37,0.001,1.255158762,0.599861707,1.228760502,0.614487657
38,0.001,1.241950572,0.607007081,1.222913404,0.608035089
39,0.001,1.242572218,0.598033656,1.221560477,0.624633993
40,0.001,1.228845835,0.618577338,1.167918235,0.656809211
41,0.001,1.220405352,0.609793826,1.157505084,0.647133884
42,0.001,1.225658539,0.616078026,1.189168573,0.654197897
43,0.001,1.195874853,0.63757165,1.205061109,0.660915393
44,0.001,1.205670137,0.624497273,1.174588036,0.647340979
45,0.001,1.217347034,0.618346449,1.196739671,0.639940955
46,0.001,1.193080137,0.63282999,1.162365106,0.618160852
47,0.001,1.186739911,0.644154702,1.118658104,0.686416084
48,0.001,1.180098604,0.647345605,1.141818838,0.661978696
49,0.001,1.184674809,0.636739375,1.109170244,0.695163391
50,0.001,1.169217498,0.652154773,1.141247897,0.663606921
51,0.001,1.154655574,0.664896087,1.112910814,0.690661478
52,0.001,1.154885401,0.655508703,1.164922419,0.654680896
53,0.001,1.151756083,0.664631777,1.122413032,0.685274927
54,0.001,1.145193717,0.659335531,1.117194034,0.681046345
55,0.001,1.133978586,0.6790599,1.125434262,0.692523911
56,0.001,1.138398235,0.670403948,1.087212258,0.697846647
57,0.001,1.122397464,0.68112415,1.095381417,0.707571408
58,0.001,1.125872363,0.684320136,1.100294437,0.683241909
59,0.001,1.11966204,0.683807356,1.072415317,0.717539181
60,0.001,1.112644416,0.684419545,1.118624833,0.697738854
61,0.001,1.097808167,0.701381335,1.06698214,0.721042837
62,0.001,1.092532975,0.701869777,1.058213376,0.721356167
63,0.001,1.086801777,0.709699816,1.064571536,0.720146873
64,0.001,1.084579882,0.704422267,1.161705567,0.660038635
65,0.001,1.074200752,0.710198846,1.075404387,0.70129708
66,0.001,1.07150338,0.712007718,1.050934875,0.720828875
67,0.001,1.070565989,0.714552014,1.062677171,0.721705658
68,0.001,1.068249873,0.71431115,1.069848143,0.720143919
69,0.001,1.055640592,0.725430499,1.059872842,0.72132049
70,0.001,1.05538878,0.723733025,1.025357545,0.735215191
71,0.001,1.04220677,0.735040904,1.029399479,0.735288526
72,0.001,1.032322895,0.740911369,1.057620682,0.719501238
73,0.001,1.04589021,0.735516901,1.02606821,0.739783694
74,0.001,1.039445153,0.735625233,1.008673626,0.749217288
75,0.001,1.019565502,0.745211823,1.021315032,0.743861098
76,0.001,1.013951116,0.751948367,1.033641069,0.733609662
77,0.001,1.024676012,0.743579927,1.028580826,0.746314394
78,0.001,1.00972195,0.749444546,1.032282123,0.738925068
79,0.001,1.017008473,0.745361757,1.041935944,0.735377912
80,0.001,1.009570061,0.753500106,1.016507014,0.741872511
81,0.001,1.00530184,0.757526045,1.001261854,0.75011384
82,0.001,1.006022874,0.760191052,1.009428607,0.756485057
83,0.001,0.993893965,0.767220629,0.9911196,0.761276576
84,0.001,0.982553016,0.770125483,0.993041033,0.763786478
85,0.001,0.983814561,0.769608103,0.986609148,0.757698327
86,0.001,0.967489844,0.778552508,0.988896778,0.745038301
87,0.001,0.981142723,0.771902143,1.007523804,0.754373779
88,0.001,0.979377121,0.775348491,0.962961448,0.770228945
89,0.001,0.958261106,0.787206224,0.963999555,0.770063448
90,0.001,0.965375433,0.781327098,0.98183038,0.769232612
91,0.001,0.956756335,0.785897554,0.980162474,0.772006259
92,0.001,0.957701983,0.779487668,0.977580653,0.755191856
93,0.001,0.948004555,0.793588687,0.974664388,0.768077788
94,0.001,0.947751807,0.793807811,0.968305934,0.767188448
95,0.001,0.933971458,0.797918452,0.95203285,0.780419166
96,0.001,0.940120532,0.798841548,0.992892453,0.764358349
97,0.001,0.928402574,0.804269928,0.947440142,0.780374413
98,0.001,0.942394689,0.792343398,0.95192016,0.777779742
99,0.001,0.927415838,0.805343413,0.951514342,0.77260318
100,0.001,0.925804163,0.807461257,0.966189209,0.773448364
101,0.001,0.915654686,0.813352172,0.96471206,0.776170223
102,0.001,0.91889316,0.810590714,0.941580991,0.783566282
103,0.001,0.915141314,0.809545735,0.938917795,0.78535965
