epoch,lr,loss,iou,val_loss,val_iou
0,0.001,2.0219559030873433,0.312717083727986,1.7666952252155623,0.3869386459195657
1,0.001,1.765834093093872,0.38026877573928924,1.7465051642635412,0.3778814839509734
2,0.001,1.675958405647959,0.3918061437105987,1.5810371934786642,0.46574216731206797
3,0.001,1.6354854702949524,0.3957139331456859,1.5497883916133561,0.42859378751684163
4,0.001,1.5865301308887345,0.4302571616878912,1.5110194055657638,0.5076029924254195
5,0.001,1.560847015253135,0.4338894878183083,1.5167912762996978,0.4764887439674271
6,0.001,1.5432252969060625,0.4358434902874686,1.472930667460778,0.48623507165605845
7,0.001,1.5264479358281409,0.4426367815841154,1.6430837891952337,0.40605823429549537
8,0.001,1.5093519517353602,0.45236192036834283,1.49291088032676,0.4608531662770429
9,0.001,1.4978947203074182,0.45055415148730776,1.4481459333185565,0.44290421685700815
10,0.001,1.4831719153693743,0.4704492669274036,1.4690576057452671,0.4950566529080085
11,0.001,1.4653397830469268,0.4780044251263179,1.4087371779696518,0.5057775114975585
12,0.001,1.4619059839418955,0.4705875267742389,1.4726331401289554,0.4699208054603472
13,0.001,1.4497031643986702,0.4799713061276953,1.4233462224926865,0.4878304195743415
14,0.001,1.4426143286483628,0.4829113895283593,1.378505498577512,0.5637233666709828
15,0.001,1.4246832228132658,0.4900251252599734,1.3504002312702974,0.5706351691461101
16,0.001,1.4230609653251511,0.49491527483642866,1.3656208259552776,0.5588467835623903
17,0.001,1.402574360370636,0.5130587003496182,1.4780841531344557,0.4552749567681598
18,0.001,1.3961120205266135,0.5080746398627554,1.3724044798410426,0.5413832040612497
19,0.001,1.3830871198858534,0.5215532862799417,1.4464019072218481,0.4790309382795528
20,0.001,1.3732546695641108,0.5325497043781403,1.471390617288809,0.4885626992601905
21,0.001,1.3833135621888297,0.5189840947610475,1.2778987700943827,0.5862880929306452
22,0.001,1.3462222580398833,0.5452003240342996,1.4374448983525208,0.40264957214704494
23,0.001,1.3553722266639983,0.5364113009509274,1.2909063000892802,0.5899186479392341
24,0.001,1.3449934273958206,0.5396996356801956,1.2957869579917507,0.5880313568100292
25,0.001,1.3292310099516595,0.5550841209682874,1.2437589245232923,0.6022245180296733
26,0.001,1.3244150270308768,0.5606471155267262,1.26592603854501,0.6208849469442572
27,0.001,1.3230506341372217,0.5532418409746745,1.2381852491092495,0.6205747005116554
28,0.001,1.3149201263274466,0.5545844972790727,1.2984921816032067,0.5458430075613981
29,0.001,1.306163557938167,0.5654760202001176,1.1849711743014597,0.6318486632937124
30,0.001,1.2913858847958701,0.5741548250027978,1.2284112647030554,0.6089752527049013
31,0.001,1.2924564970391137,0.5673129918038367,1.254324361594797,0.6336725673633549
32,0.001,1.2922913974949293,0.5726289895936627,1.240616748207494,0.6144116826627024
33,0.001,1.2742176417793547,0.5827771885974901,1.2174392242645427,0.6185090224668243
34,0.001,1.2767959673489844,0.5845000684191132,1.234083240143737,0.6160852519092699
35,0.001,1.2759239407522338,0.5816058311304108,1.2772552497670433,0.6125233821261709
36,0.001,1.2637864734445299,0.5919355037848613,1.2257326721680326,0.6268187164001919
